artifact_id	path	source_results_dir	exists	source_dir_exists	suffix	size_bytes	read_status	n_rows_or_pages	n_columns	text_chars	nonwhite_fraction	supplementary_boundary_found	supplementary_boundary_present	status	notes
supp_gse154778_annotation_confidence	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc/annotation_confidence.pdf	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc	True	True	.pdf	15468	opened	1	NA	138	0.140477	True	True	pass	supplementary PDF rendered
supp_gse154778_bootstrap_frustration_stability	benchmarks/results/round2_hardening/gse154778_pdac_scrna/stability/bootstrap_frustration_stability.pdf	benchmarks/results/round2_hardening/gse154778_pdac_scrna/stability	True	True	.pdf	15219	opened	1	NA	181	0.200101	True	True	pass	supplementary PDF rendered
supp_gse154778_cell_type_counts	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc/cell_type_counts.pdf	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc	True	True	.pdf	14901	opened	1	NA	147	0.169761	True	True	pass	supplementary PDF rendered
supp_gse154778_cellchat_alignment	benchmarks/results/gse154778_pdac_scrna/comparators/sheafsignal_vs_cellchat.csv	benchmarks/results/gse154778_pdac_scrna/comparators	True	True	.csv	15910	parsed	45	24	NA	NA	True	True	pass	supplementary table parsed
supp_gse154778_cellphonedb_alignment	benchmarks/results/gse154778_pdac_scrna/comparators/sheafsignal_vs_cellphonedb.csv	benchmarks/results/gse154778_pdac_scrna/comparators	True	True	.csv	15678	parsed	45	24	NA	NA	True	True	pass	supplementary table parsed
supp_gse154778_claim_gating_table	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc/claim_gating_by_cell_type.csv	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc	True	True	.csv	2403	parsed	4	23	NA	NA	True	True	pass	supplementary table parsed
supp_gse154778_frustration_overlay	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc/frustration_annotation_overlay.pdf	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc	True	True	.pdf	17028	opened	1	NA	223	0.365501	True	True	pass	supplementary PDF rendered
supp_gse154778_lesion_frustration_scores	benchmarks/results/round2_hardening/gse154778_pdac_scrna/stratified/lesion_frustration_scores.pdf	benchmarks/results/round2_hardening/gse154778_pdac_scrna/stratified	True	True	.pdf	15353	opened	1	NA	150	0.203148	True	True	pass	supplementary PDF rendered
supp_gse154778_marker_heatmap	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc/marker_heatmap.pdf	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc	True	True	.pdf	22890	opened	1	NA	253	0.670099	True	True	pass	supplementary PDF rendered
supp_gse154778_mechanistic_prior_alignment	benchmarks/results/gse154778_pdac_scrna/comparators/sheafsignal_vs_mechanistictargetprior.csv	benchmarks/results/gse154778_pdac_scrna/comparators	True	True	.csv	16051	parsed	42	21	NA	NA	True	True	pass	supplementary table parsed
supp_gse154778_myeloid_claim_readiness_table	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc/myeloid_claim_readiness_summary.csv	benchmarks/results/round2_hardening/gse154778_pdac_scrna/qc	True	True	.csv	1245	parsed	1	20	NA	NA	True	True	pass	supplementary table parsed
supp_gse154778_nichenet_alignment	benchmarks/results/gse154778_pdac_scrna/comparators/sheafsignal_vs_nichenet.csv	benchmarks/results/gse154778_pdac_scrna/comparators	True	True	.csv	15228	parsed	42	21	NA	NA	True	True	pass	supplementary table parsed
supp_gse154778_sample_level_myeloid_stability	benchmarks/results/round2_hardening/gse154778_pdac_scrna/stability/sample_level_myeloid_stability.pdf	benchmarks/results/round2_hardening/gse154778_pdac_scrna/stability	True	True	.pdf	15264	opened	1	NA	179	0.346094	True	True	pass	supplementary PDF rendered
supp_gse176078_author_annotation_counts	data/processed/gse176078_brca_scrna/annotation_summary.csv	data/processed/gse176078_brca_scrna	True	True	.csv	648	parsed	24	4	NA	NA	True	True	pass	supplementary table parsed
supp_gse176078_cellchat_alignment	benchmarks/results/gse176078_brca_scrna/comparators/sheafsignal_vs_cellchat.csv	benchmarks/results/gse176078_brca_scrna/comparators	True	True	.csv	22239	parsed	63	24	NA	NA	True	True	pass	supplementary table parsed
supp_gse176078_cellphonedb_alignment	benchmarks/results/gse176078_brca_scrna/comparators/sheafsignal_vs_cellphonedb.csv	benchmarks/results/gse176078_brca_scrna/comparators	True	True	.csv	20410	parsed	58	24	NA	NA	True	True	pass	supplementary table parsed
supp_gse176078_lr_product_alignment	benchmarks/results/gse176078_brca_scrna/comparators/sheafsignal_vs_lr_product_baseline.csv	benchmarks/results/gse176078_brca_scrna/comparators	True	True	.csv	24766	parsed	56	23	NA	NA	True	True	pass	supplementary table parsed
supp_gse176078_mechanistic_prior_alignment	benchmarks/results/gse176078_brca_scrna/comparators/sheafsignal_vs_mechanistictargetprior.csv	benchmarks/results/gse176078_brca_scrna/comparators	True	True	.csv	21282	parsed	56	21	NA	NA	True	True	pass	supplementary table parsed
supp_gse176078_nichenet_alignment	benchmarks/results/gse176078_brca_scrna/comparators/sheafsignal_vs_nichenet.csv	benchmarks/results/gse176078_brca_scrna/comparators	True	True	.csv	20439	parsed	56	21	NA	NA	True	True	pass	supplementary table parsed
supp_gse72056_author_annotation_counts	data/processed/gse72056_melanoma_scrna/annotation_summary.csv	data/processed/gse72056_melanoma_scrna	True	True	.csv	156	parsed	7	3	NA	NA	True	True	pass	supplementary table parsed
supp_gse72056_cellchat_alignment	benchmarks/results/gse72056_melanoma_scrna/comparators/sheafsignal_vs_cellchat.csv	benchmarks/results/gse72056_melanoma_scrna/comparators	True	True	.csv	20069	parsed	49	24	NA	NA	True	True	pass	supplementary table parsed
supp_gse72056_cellphonedb_alignment	benchmarks/results/gse72056_melanoma_scrna/comparators/sheafsignal_vs_cellphonedb.csv	benchmarks/results/gse72056_melanoma_scrna/comparators	True	True	.csv	16858	parsed	44	24	NA	NA	True	True	pass	supplementary table parsed
supp_gse72056_lr_product_alignment	benchmarks/results/gse72056_melanoma_scrna/comparators/sheafsignal_vs_lr_product_baseline.csv	benchmarks/results/gse72056_melanoma_scrna/comparators	True	True	.csv	18498	parsed	42	23	NA	NA	True	True	pass	supplementary table parsed
supp_gse72056_mechanistic_prior_alignment	benchmarks/results/gse72056_melanoma_scrna/comparators/sheafsignal_vs_mechanistictargetprior.csv	benchmarks/results/gse72056_melanoma_scrna/comparators	True	True	.csv	16121	parsed	42	21	NA	NA	True	True	pass	supplementary table parsed
supp_gse72056_nichenet_alignment	benchmarks/results/gse72056_melanoma_scrna/comparators/sheafsignal_vs_nichenet.csv	benchmarks/results/gse72056_melanoma_scrna/comparators	True	True	.csv	15459	parsed	42	21	NA	NA	True	True	pass	supplementary table parsed
supp_journal_targets_20_50	manuscript/JOURNAL_TARGETS_20_50.tsv	manuscript	True	True	.tsv	3618	parsed	6	15	NA	NA	True	True	pass	supplementary table parsed
supp_ligand_target_prior_table	metadata/tme_ligand_target_prior.csv	metadata	True	True	.csv	1914	parsed	37	4	NA	NA	True	True	pass	supplementary table parsed
supp_main_figure_legends_draft	manuscript/figure_legends/01_main_figure_legends.md	manuscript/figure_legends	True	True	.md	3418	read	NA	NA	3371	NA	True	True	pass	supplementary text read
supp_nature_methods_format_audit	manuscript/NATURE_METHODS_FORMAT_AUDIT.tsv	manuscript	True	True	.tsv	1213	parsed	11	5	NA	NA	True	True	pass	supplementary table parsed
supp_nature_methods_format_audit_report	manuscript/NATURE_METHODS_FORMAT_AUDIT_REPORT.md	manuscript	True	True	.md	506	read	NA	NA	488	NA	True	True	pass	supplementary text read
supp_nature_methods_go_no_go_report	manuscript/NATURE_METHODS_GO_NO_GO_REPORT.md	manuscript	True	True	.md	1952	read	NA	NA	1920	NA	True	True	pass	supplementary text read
supp_nm_abstract_draft	manuscript/nature_methods_package/01_abstract.md	manuscript/nature_methods_package	True	True	.md	1683	read	NA	NA	1672	NA	True	True	pass	supplementary text read
supp_nm_claim_evidence_map	manuscript/nature_methods_package/05_claim_evidence_map.tsv	manuscript/nature_methods_package	True	True	.tsv	2266	parsed	8	5	NA	NA	True	True	pass	supplementary table parsed
supp_nm_full_manuscript_draft	manuscript/nature_methods_package/09_full_manuscript_draft.md	manuscript/nature_methods_package	True	True	.md	17047	read	NA	NA	16808	NA	True	True	pass	supplementary text read
supp_nm_submission_checklist	manuscript/nature_methods_package/07_submission_checklist.tsv	manuscript/nature_methods_package	True	True	.tsv	782	parsed	7	3	NA	NA	True	True	pass	supplementary table parsed
supp_nm_supplementary_information_draft	manuscript/nature_methods_package/10_supplementary_information_draft.md	manuscript/nature_methods_package	True	True	.md	2253	read	NA	NA	2199	NA	True	True	pass	supplementary text read
supp_nm_title_page_draft	manuscript/nature_methods_package/00_title_page.md	manuscript/nature_methods_package	True	True	.md	486	read	NA	NA	466	NA	True	True	pass	supplementary text read
supp_presubmission_inquiry_letter	manuscript/presubmission_inquiry/01_presubmission_inquiry_letter.md	manuscript/presubmission_inquiry	True	True	.md	1910	read	NA	NA	1881	NA	True	True	pass	supplementary text read
supp_release_archive_manifest	release/archive_manifest.tsv	release	True	True	.tsv	374	parsed	2	7	NA	NA	True	True	pass	supplementary table parsed
supp_release_github_manifest	release/github_release_manifest.tsv	release	True	True	.tsv	94015	parsed	468	6	NA	NA	True	True	pass	supplementary table parsed
supp_release_summary	release/REPRODUCIBILITY_RELEASE_SUMMARY.md	release	True	True	.md	1260	read	NA	NA	1227	NA	True	True	pass	supplementary text read
supp_release_zenodo_manifest	release/zenodo_upload_manifest.tsv	release	True	True	.tsv	7445	parsed	40	6	NA	NA	True	True	pass	supplementary table parsed
supp_response_transfer_by_journal	manuscript/response_transfer/03_transfer_package_by_journal.tsv	manuscript/response_transfer	True	True	.tsv	3909	parsed	6	12	NA	NA	True	True	pass	supplementary table parsed
supp_response_transfer_decision_tree	manuscript/response_transfer/00_decision_tree.md	manuscript/response_transfer	True	True	.md	2646	read	NA	NA	2584	NA	True	True	pass	supplementary text read
supp_response_transfer_do_not_claim	manuscript/response_transfer/05_do_not_claim_checklist.md	manuscript/response_transfer	True	True	.md	1560	read	NA	NA	1522	NA	True	True	pass	supplementary text read
supp_response_transfer_rewrite_actions	manuscript/response_transfer/04_target_specific_rewrite_actions.tsv	manuscript/response_transfer	True	True	.tsv	2021	parsed	7	6	NA	NA	True	True	pass	supplementary table parsed
supp_reviewer_objection_response_table	manuscript/reviewer_objection_response_table.tsv	manuscript	True	True	.tsv	4490	parsed	7	7	NA	NA	True	True	pass	supplementary table parsed
supp_sci20_50_action_board	manuscript/SCI20_50_ACTION_BOARD.md	manuscript	True	True	.md	6069	read	NA	NA	5967	NA	True	True	pass	supplementary text read
supp_sci_cover_letter_nature_methods	manuscript/SCI_COVER_LETTER_NatureMethods.md	manuscript	True	True	.md	1714	read	NA	NA	1683	NA	True	True	pass	supplementary text read
supp_sci_manuscript_v1	manuscript/SCI_MANUSCRIPT_V1.md	manuscript	True	True	.md	14662	read	NA	NA	14396	NA	True	True	pass	supplementary text read
supp_sci_manuscript_v1_claim_tracked	manuscript/SCI_MANUSCRIPT_V1_claim_tracked.md	manuscript	True	True	.md	15794	read	NA	NA	15508	NA	True	True	pass	supplementary text read
supp_sci_manuscript_v1_referenced	manuscript/references/SCI_MANUSCRIPT_V1_referenced.md	manuscript/references	True	True	.md	14789	read	NA	NA	14524	NA	True	True	pass	supplementary text read
supp_sci_manuscript_v2_changelog	manuscript/SCI_MANUSCRIPT_V2_CHANGELOG.tsv	manuscript	True	True	.tsv	911	parsed	5	4	NA	NA	True	True	pass	supplementary table parsed
supp_sci_manuscript_v2_claim_tracked	manuscript/SCI_MANUSCRIPT_V2_POLISHED_claim_tracked.md	manuscript	True	True	.md	2637	read	NA	NA	2615	NA	True	True	pass	supplementary text read
supp_sci_manuscript_v2_editorial_audit	manuscript/SCI_MANUSCRIPT_V2_EDITORIAL_AUDIT.tsv	manuscript	True	True	.tsv	981	parsed	7	4	NA	NA	True	True	pass	supplementary table parsed
supp_sci_manuscript_v2_polished	manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	manuscript	True	True	.md	17047	read	NA	NA	16808	NA	True	True	pass	supplementary text read
supp_sci_reference_gap_report	manuscript/references/SCI_REFERENCE_GAP_REPORT.md	manuscript/references	True	True	.md	391	read	NA	NA	378	NA	True	True	pass	supplementary text read
supp_sci_references_bibtex	manuscript/references/SCI_REFERENCES.bib	manuscript/references	True	True	.bib	4032	read	NA	NA	3922	NA	True	True	pass	supplementary text read
supp_sci_references_verified	manuscript/references/SCI_REFERENCES_VERIFIED.tsv	manuscript/references	True	True	.tsv	3550	parsed	10	11	NA	NA	True	True	pass	supplementary table parsed
supp_sci_title_abstract_keywords	manuscript/SCI_TITLE_ABSTRACT_KEYWORDS.md	manuscript	True	True	.md	1580	read	NA	NA	1550	NA	True	True	pass	supplementary text read
supp_submission_author_metadata_template	manuscript/submission_metadata/AUTHOR_METADATA_TEMPLATE.tsv	manuscript/submission_metadata	True	True	.tsv	267	parsed	1	10	NA	NA	True	True	pass	supplementary table parsed
supp_submission_main_figure_upload_manifest	manuscript/submission_upload_package/main_figure_upload_manifest.tsv	manuscript/submission_upload_package	True	True	.tsv	1306	parsed	5	6	NA	NA	True	True	pass	supplementary table parsed
supp_submission_readiness_report	manuscript/SUBMISSION_READINESS_REPORT.md	manuscript	True	True	.md	10428	read	NA	NA	10334	NA	True	True	pass	supplementary text read
supp_submission_system_metadata_checklist	manuscript/submission_metadata/SUBMISSION_SYSTEM_METADATA_CHECKLIST.tsv	manuscript/submission_metadata	True	True	.tsv	608	parsed	6	4	NA	NA	True	True	pass	supplementary table parsed
supp_submission_upload_docx_layout_check	manuscript/submission_upload_package/DOCX_LAYOUT_CHECK.tsv	manuscript/submission_upload_package	True	True	.tsv	724	parsed	3	10	NA	NA	True	True	pass	supplementary table parsed
supp_submission_upload_docx_text_check	manuscript/submission_upload_package/DOCX_TEXT_EXTRACTION_CHECK.md	manuscript/submission_upload_package	True	True	.md	534	read	NA	NA	513	NA	True	True	pass	supplementary text read
supp_submission_upload_manifest	manuscript/submission_upload_package/submission_upload_manifest.tsv	manuscript/submission_upload_package	True	True	.tsv	2803	parsed	10	8	NA	NA	True	True	pass	supplementary table parsed
supp_submission_upload_preflight_checklist	manuscript/submission_upload_package/submission_upload_preflight_checklist.tsv	manuscript/submission_upload_package	True	True	.tsv	2337	parsed	17	4	NA	NA	True	True	pass	supplementary table parsed
supp_supplementary_figure_legends_draft	manuscript/figure_legends/02_supplementary_figure_legends.md	manuscript/figure_legends	True	True	.md	33990	read	NA	NA	33320	NA	True	True	pass	supplementary text read
supp_tenx_breast_visium_hotspot_spatial_scatter	benchmarks/results/tenx_breast_visium/spatial/qc/hotspot_spatial_scatter.pdf	benchmarks/results/tenx_breast_visium/spatial/qc	True	True	.pdf	72223	opened	1	NA	220	0.48863	True	True	pass	supplementary PDF rendered
supp_tenx_breast_visium_k_neighbors_sensitivity	benchmarks/results/tenx_breast_visium/spatial/qc/k_neighbors_sensitivity.pdf	benchmarks/results/tenx_breast_visium/spatial/qc	True	True	.pdf	15009	opened	1	NA	207	0.130456	True	True	pass	supplementary PDF rendered
supp_tenx_breast_visium_marker_spot_counts	data/processed/tenx_breast_visium/annotation_summary.csv	data/processed/tenx_breast_visium	True	True	.csv	250	parsed	6	3	NA	NA	True	True	pass	supplementary table parsed
supp_tenx_breast_visium_scope_audit	manuscript/visium_scope/VISIUM_SCOPE_AUDIT.tsv	manuscript/visium_scope	True	True	.tsv	2630	parsed	9	6	NA	NA	True	True	pass	supplementary table parsed
supp_tenx_breast_visium_scope_report	manuscript/visium_scope/VISIUM_SCOPE_REPORT.md	manuscript/visium_scope	True	True	.md	505	read	NA	NA	486	NA	True	True	pass	supplementary text read
supp_tenx_breast_visium_spatial_hotspot_qc_summary	benchmarks/results/tenx_breast_visium/spatial/qc/spatial_hotspot_qc_summary.csv	benchmarks/results/tenx_breast_visium/spatial/qc	True	True	.csv	412	parsed	1	10	NA	NA	True	True	pass	supplementary table parsed
supp_tenx_breast_visium_spatial_hotspot_summary	benchmarks/results/tenx_breast_visium/spatial/spatial_hotspot_summary.csv	benchmarks/results/tenx_breast_visium/spatial	True	True	.csv	221	parsed	1	8	NA	NA	True	True	pass	supplementary table parsed
supp_tenx_breast_visium_spatial_hotspots	benchmarks/results/tenx_breast_visium/spatial/spatial_frustration_hotspots.csv	benchmarks/results/tenx_breast_visium/spatial	True	True	.csv	1231307	parsed	3798	15	NA	NA	True	True	pass	supplementary table parsed
supp_zenodo_deposition_instructions	release/ZENODO_DEPOSITION_INSTRUCTIONS.md	release	True	True	.md	1063	read	NA	NA	1033	NA	True	True	pass	supplementary text read
supp_zenodo_deposition_metadata	release/zenodo_deposition_metadata.json	release	True	True	.json	1106	parsed	NA	NA	1079	NA	True	True	pass	supplementary JSON parsed
