file	line	token	category	severity	evidence	required_action
manuscript/submission_metadata/AUTHOR_METADATA_TEMPLATE.tsv	2	TBD	author_owned_submission_metadata	pending_author	"1	TBD	TBD	TBD	TBD	A1	TBD	Conceptualization; Methodology; Software; Formal analysis; Writing - original draft	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AFFILIATIONS_TEMPLATE.tsv	2	TBD	author_owned_submission_metadata	pending_author	"A1	TBD	TBD	TBD	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	2	TBD	author_owned_submission_metadata	pending_author	"Conceptualization	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	3	TBD	author_owned_submission_metadata	pending_author	"Methodology	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	4	TBD	author_owned_submission_metadata	pending_author	"Software	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	5	TBD	author_owned_submission_metadata	pending_author	"Formal analysis	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	6	TBD	author_owned_submission_metadata	pending_author	"Investigation	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	7	TBD	author_owned_submission_metadata	pending_author	"Data curation	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	8	TBD	author_owned_submission_metadata	pending_author	"Writing - original draft	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	9	TBD	author_owned_submission_metadata	pending_author	"Writing - review and editing	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	10	TBD	author_owned_submission_metadata	pending_author	"Supervision	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/AUTHOR_CONTRIBUTIONS_CREDIT_TEMPLATE.tsv	11	TBD	author_owned_submission_metadata	pending_author	"Funding acquisition	TBD	tbd_by_authors"	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/COMPETING_INTERESTS_TEMPLATE.md	3	TBD	author_owned_submission_metadata	pending_author	TBD.	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/ETHICS_AND_DATA_USE_STATEMENT.md	11	TBD	author_owned_submission_metadata	pending_author	TBD by authors before submission: confirm whether the manuscript requires an	Authors must fill this journal submission field before upload.
manuscript/submission_metadata/SUBMISSION_SYSTEM_METADATA_CHECKLIST.tsv	6	TBD	author_owned_submission_metadata	pending_author	"competing_interests	authors	tbd_by_authors	Replace TBD in COMPETING_INTERESTS_TEMPLATE.md."	Authors must fill this journal submission field before upload.
