priority	domain	severity	finding	suggested_action	owner	status	blocks_20_50_if	source_file	resolution_note
P1	methods	major	"Required action:** Either (a) implement a non-trivial sheaf — higher-rank stalks, non-orthogonal restriction maps, or context-dependent restrictions per ligand-receptor channel — and demonstrate that this richer object captures something the rank-one trivial sheaf cannot; or (b) drop ""sheaf-valued"" from the title and abstract and reframe as *""a graph-Hodge consistency residual for CCC""*. Option (b) is honest but loses the methods-journal hook."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"### F2. The ""sheaf residual"" is `z(LR_flow) − (path_recv − path_send)` — i.e., a graph-smoothness residual already studied for over a decade. **[direct]"	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	Hodge rank aggregation** residual (Jiang et al. 2011 — Math. Program. — already in the manuscript reference list).	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	methods	major	"The novelty must be redefined as **the application** (LR-flow vs pathway-state on a CCC graph), not the **method**. The current manuscript framing (""a computational framework that models cell-cell communication as a sheaf-valued flow… and uses Hodge decomposition to quantify edge-level frustration"") will not survive a methods reviewer's first pass."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	methods	major	"Required action:** Restate the contribution as *""applying graph-Hodge consistency to CCC residuals""* and let novelty rest on the **biological/data-analysis pipeline**, not on the mathematical object."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	Round 2 reports SheafSignal AP = 1.00 / 0.917 / 0.867 at noise SD 0 / 0.05 / 0.10, against an LR-flow baseline AP ≈ 0.6, a Hodge-only baseline AP ≈ 0.32, and centrality/smoothness baselines AP ≈ 0.63. AP = 1.00 at zero noise is the canonical signature of a method recovering its own definition.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	code_quality	major	Without the simulation generator code or the recovery CSV, I cannot verify, but the AP gap pattern is **consistent with the synthetic ground truth being constructed from `flow − coboundary_pathway` directly**. If the simulator generates inconsistent edges by injecting `flow_z − (path_recv − path_send)` deviations and SheafSignal scores by computing exactly that quantity, then AP = 1.00 is **definitional, not empirical**. Note also that `sheaf_ground_truth_recovery.csv` is listed as *required* in `02_EVIDENCE_FILE_INDEX.tsv` but **is not present in this review bundle** (see §F5 below) — a referee cannot independently verify the ground-truth construction.	Map concern to source files, tests, packaging, CLI behavior, and add regression coverage.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	methods	major	"Required action:** (a) Restore the simulation CSV to the review bundle; (b) describe the data-generating process (DGP) of the synthetic benchmark in mathematical detail; (c) add a non-self-fulfilling task — e.g., recovering simulated **biological perturbations** that propagate through a known pathway, where the ground truth is *the perturbation*, not *the residual definition*; (d) include ""leakage tests"" where SheafSignal is denied access to either LR or pathway, and show degradation matches expectation."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	### F4. Hodge decomposition is computed on collapsed antiparallel net flow, with curl basis restricted to complete cell-type triangles — both choices destroy structure the framework exists to capture. **[direct]	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"> ""For Hodge decomposition, anti-parallel directed edges are collapsed into a canonical pairwise net flow… The current curl space is generated from complete cell-type triangles in the communication graph… Hodge decomposition uses pairwise net flow, so it emphasizes directional imbalance rather than total bidirectional communication."""	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	1. **Antiparallel collapse**: in real CCC, A→B and B→A are biologically distinct (e.g., a TGFB ligand from CAF to T-cell vs an IL-2 ligand from T-cell to CAF). Collapsing them to a single net pairwise flow throws away the very direction-dependent biology that motivates a sheaf framework. The manuscript admits this in the limitations section but does not quantify the information loss.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	methods	major	Required action:** (a) Replace antiparallel collapse with a directed Hodge decomposition (e.g., magnetic Laplacian or directed graph Hodge as in Schaub et al. 2020); (b) extend the curl basis to higher-order simplices (4-cycles, 5-cycles) or admit that the gradient/curl/harmonic split on a small dense graph is information-poor; (c) report the dimension of the curl basis explicitly per dataset.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	general	major	### F5. The bundle is internally inconsistent — 11/22 required evidence files are missing. **[direct, programmatically verified]	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	general	major	The shareable bundle's own `02_EVIDENCE_FILE_INDEX.tsv` lists 22 files as `required=yes`. Of these, the following 11 are physically absent from the zip:	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	general	major	Yet `EXTERNAL_AI_REVIEW_ROUTING_2026-05-04.md` declares `Decision: SHAREABLE_REVIEW_BUNDLE_READY`, `Included files: 35`, `Missing required files: 0`. This is a verifiable contradiction in the project's own packaging audit. It implies either (a) the integrity-check script does not actually check filesystem presence against the index, or (b) the bundle was built from a different source-of-truth than the index. Both are concerning for a manuscript whose central pitch is **reproducibility hardening**.	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	code_quality	major	Required action:** Fix the bundle generator so the integrity report actually verifies presence; add a unit test in `scripts/package_external_beta_review_bundle.py` that checks every `required=yes` row in the index resolves to a file with the expected SHA256; then resend.	Map concern to source files, tests, packaging, CLI behavior, and add regression coverage.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	## 3. Does the rank-one cellular sheaf framing justify the manuscript's claims?	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"A cellular sheaf with ℝ stalks and ±1 restriction maps is the **trivial sheaf** on the underlying graph: it carries no information beyond the graph topology and node values. The ""sheaf coboundary"" `δp(e) = p_target − p_source` is the standard graph gradient (Lim 2020, eq. 2.3). The ""sheaf Laplacian"" `L = δ*δ` is the standard combinatorial graph Laplacian. The ""sheaf residual"" is the residual of an edge signal against a node-gradient potential — a graph-smoothness object."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	methods	major	For the sheaf framing to do real work, at least **one** of the following must hold:	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	Hansen & Ghrist's foundational cellular sheaf work (cited as `cellular_sheaves_hansen_2019`) explicitly motivates the formalism by these higher-rank, non-trivial-restriction settings. The current implementation does not use that machinery; it uses sheaf vocabulary on top of a graph-Laplacian computation. The manuscript's title, abstract, and Introduction lead with sheaf-valued language and will not survive sheaf-aware referees.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"A **rescue path** that preserves ""sheaf"" wording with mathematical substance: define stalks as **R^|LR_pairs|** (one dimension per LR channel at each cell type), restriction maps as **diagonal matrices encoding the channel-specific receptor expression**, and the consistency residual as the **per-channel mismatch between sender-emitted and receiver-effective channel vectors**. That is a non-trivial sheaf, and the resulting decomposition is genuinely sheaf-Laplacian-based (cf. Hansen & Gebhart 2020). Whether this is implementable in the current codebase is unverified."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	## 4. Is the Hodge decomposition on `sheaf_residual` technically defensible?	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	Computation**: applying graph Hodge decomposition (Jiang et al. 2011) to any edge signal — including `sheaf_residual` — is mathematically well-defined. The simulation panel reported in `SCI_MANUSCRIPT_V2_POLISHED.md` (gradient_chain → 100% gradient, triangle_curl → 100% curl, harmonic_ring → 100% harmonic) confirms the implementation correctness of the decomposition layer.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	Contribution**: switching the input of the decomposition from `flow_z` (Round 1) to `sheaf_residual = flow_z − (path_recv − path_send)` (Round 2) is a meaningful modeling choice but **does not constitute a new decomposition method**. The mathematical machinery is unchanged. What changed is *what edge signal is decomposed*, which is at best an applied modelling choice and not a methodological novelty for a methods journal.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"A more concerning aspect**: the residual itself already **subtracts the gradient component** (`path_recv − path_send` is exactly a gradient on the node potential). So computing a Hodge decomposition on `sheaf_residual` and then reporting a ""gradient ratio"" is at risk of confusion: the gradient that survives in the residual is the part of `flow_z` not aligned with the pathway gradient. This is interpretable, but the manuscript needs to spell it out clearly, otherwise readers will conflate ""gradient-dominated residual"" with ""gradient-dominated communication"", which means very different things. The current Discussion does not make this distinction sharp."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	methods	major	## 5. What exact novelty claims must be downgraded?	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P1	general	major	Current claim (location) | Required downgrade	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"Title: ""SheafSignal maps communication frustration in tissue signaling networks"" | Acceptable, but ""sheaf"" should not appear in the title unless §3 rescue path is implemented. Suggest: *""A graph-Hodge consistency residual for cell–cell communication analysis""*."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"Abstract: ""models cell-cell communication as a sheaf-valued flow over a biological graph"" (lines 17–19, `SCI_MANUSCRIPT_V2_POLISHED.md`) | Drop ""sheaf-valued""; replace with ""models inferred CCC as an edge flow over a cell-type graph and applies Hodge decomposition to a pathway-consistency residual""."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"Introduction: ""SheafSignal addresses this gap by changing the mathematical object under analysis."" (line 60) | The mathematical object is **not** changed — it is still a graph edge signal. Reword to: ""SheafSignal changes the *quantity* under analysis from edge intensity to edge–pathway consistency residual."""	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"""cellular sheaves providing the language for local-to-global consistency constraints"" (line 67) | Either implement the §3 rescue (stalks > 1, non-trivial restrictions) or remove the cellular-sheaf citation. Citing Hansen & Ghrist for a rank-one trivial sheaf is overreach."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"Round 2 ""formal rank-one cellular sheaf API"" claim | Rename to ""graph-coboundary residual API"" in code and docs. The current API does not implement the cellular-sheaf primitives that justify the name."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	## 6. Method experiments most likely to improve a 20–50 IF submission	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	1. **Implement a non-trivial sheaf (highest priority).** Stalks with dimension equal to number of LR pairs per cell type; restriction maps encoded by receptor-side expression; demonstrate that the resulting sheaf Laplacian recovers structure that the rank-one Laplacian misses. Without this, the methods-journal hook is brittle.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	2. **Non-self-fulfilling simulation.** Generate synthetic single-cell data with a **known biological perturbation** (e.g., knock down a ligand in one cell type, propagate downstream pathway changes) and show SheafSignal recovers the perturbation source, edge, or pathway better than CellChat / LIANA / a Hodge-only baseline. AP = 1.00 on a residual-recovery task is not convincing; recovery of an upstream perturbation is.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	statistics	comment	"3. **Comparator under matched conditions.** Re-run LIANA, CellChat, NicheNet on the simulation in #2, with identical permutation budgets and identical evaluation tasks. Report AP, AUROC, FDR-controlled discovery counts, plus 95% CIs. Without matched-condition comparators, the ""alignment"" Spearman numbers (0.07–0.75) are descriptive only."	Map concern to permutation/FDR/bootstrap/sensitivity outputs and rerun if needed.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	4. **Directed Hodge decomposition.** Replace antiparallel collapse with a magnetic-Laplacian or signed-edge approach (Schaub et al. 2020; Furutani et al. 2019). This addresses F4 directly and is a small mathematical extension that produces a defensible methodological delta.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	7. **Ablation: residual without Hodge decomposition.** Show that the Hodge split actually adds information beyond the raw `sheaf_energy` ranking on biological tasks. The manuscript currently uses Hodge ratios as descriptive diagnostics; reviewers will ask whether the decomposition is load-bearing for any biological claim.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	Bioinformatics** (OUP) — 5–6 IF range, accepts applied algorithms with modest novelty if reproducibility and benchmarking are clean. Realistic primary target.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	journal_fit	comment	PLOS Computational Biology** — 4–5 IF, accepts honest applied methods. Would tolerate the current scope.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	Reachable after Round 2 rescue (non-trivial sheaf + perturbation simulation):	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	journal_fit	comment	Cell Reports Methods** (~5 IF, Cell Press) — honest fit for a CCC methodological extension with cancer-context replication.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	journal_fit	comment	Genome Biology** — 12 IF, possible if the perturbation simulation is convincing and biological validation lands.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P0	journal_fit	fatal	"Nature Methods (32.1 IF)** — *not appropriate at current state*. The ""what is mathematically new"" question is unanswered. Probability of desk-reject in my judgement: high."	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	Nature Biotechnology (41.7 IF)** — *not appropriate*. Method scope is too narrow; no demonstrated translational utility.	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	single_cell	comment	Molecular Cancer (33.9 IF)** — possible only if recast as a **PDAC biology paper** with SheafSignal as a tool, and only if the GSE154778 Myeloid story can be biologically validated, which the bundle explicitly says it cannot.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	journal_fit	comment	Editor's-eye verdict:** present-state best fit is **Bioinformatics or PLOS Comp Bio**. A 20–50 IF route is not currently defensible without the F1/F2/F3 fixes above.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P0	code_quality	fatal	The package shows unusually disciplined claim gating, claim-safety auditing, and review-cycle hygiene. Round 1 → Round 2 hardening is real engineering progress, and the boundary statements throughout (`CLAIM_SAFETY_AUDIT_REPORT.md`, `VISIUM_SCOPE_REPORT.md`, `COMPARATOR_SCOPE_REPORT.md`, `NOVELTY_OVERLAP_REPORT.md`) are exemplary in tone — the project clearly takes overclaiming seriously. The reason this review is still a reject is unrelated to discipline: **the central methodological object does not yet justify the methods-journal framing**. Fix that, and a credible 20-IF-tier submission is in reach. Don't fix it, and Nature Methods is not the right venue.	Map concern to source files, tests, packaging, CLI behavior, and add regression coverage.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	single_cell	comment	external_references_consulted:** None beyond the supplied bundle. Public GitHub and Zenodo links were not fetched. GEO accession metadata for GSE154778, GSE72056, GSE176078, GSE103322 was not re-verified against the original GEO submissions in this review.	Map concern to annotation validation, claim gating, and sample-level robustness outputs.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P0	journal_fit	fatal	Review mode:** Aggressive — Nature Methods first-round desk-reject / referee-stage rejection threshold.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P0	journal_fit	fatal	Reject as a Nature Methods / Nature Biotechnology / Nature Cancer submission. Major revision plus additional biological validation required for any 20–30 IF route.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
P3	methods	comment	"The biology in this manuscript is honest about its limitations — almost to a fault. The authors openly admit that the central PDAC GSE154778 case yields **no main-text biological claim**, that Visium is hotspot demonstration only, and that ""computational sheaf-energy rankings are dataset-dependent, not the biological claim that a single cell type universally dominates tumor communication inconsistency"". The problem for a high-impact methods journal is that **what remains is a method without a single positive biological example.** Five public datasets produce five different ""top frustration sources"" with no biological synthesis. A high-impact biology editor will read the discipline as caution; a high-impact methods editor will read it as the absence of a demonstrated biological win. Both are blockers."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer2_singlecell_spatial_claims.md	NA
