relative_path	line_no	trigger	classification	matched_text	required_action
manuscript/JOURNAL_TARGETS_20_50.tsv	5	treatment_or_therapeutic_guidance	safe_boundary_statement	"4	Nature Cancer	Springer Nature	28.5	28.6	2024 Journal Impact Factor	cancer_biology_stretch_route	3	not_primary_without_biology_validation	Good disease-field visibility, but likely requires stronger cancer biology, histology, clinical, or perturbation validation than available now.	External biological validation or a much deeper public cancer atlas story; journal-specific disease relevance.	Do not imply clinical or therapeutic relevance from computational frustration scores alone.	False	https://www.nature.com/natcancer/journal-impact	2026-04-30"	No rewrite required if this remains a negative/boundary statement.
manuscript/NATURE_METHODS_FORMAT_AUDIT_REPORT.md	17	guaranteed_acceptance_or_publication	safe_boundary_statement	This audit is a local pre-submission check and does not guarantee acceptance.	No rewrite required if this remains a negative/boundary statement.
manuscript/NATURE_METHODS_GO_NO_GO_REPORT.md	29	guaranteed_acceptance_or_publication	safe_boundary_statement	This report checks local readiness. It does not guarantee journal acceptance.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_ACTION_BOARD.md	11	guaranteed_acceptance_or_publication	safe_boundary_statement	This board does not guarantee acceptance. It defines the strongest defensible	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_ACTION_BOARD.md	34	full_pretrained_nichenet	safe_boundary_statement	a project-curated TME prior matrix, not a full pretrained NicheNet network.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_ACTION_BOARD.md	35	broad_superiority	safe_boundary_statement	4. Avoid broad superiority language over CellChat, CellPhoneDB, LIANA, NicheNet,	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_ACTION_BOARD.md	51	clinical_utility;broad_superiority;full_pretrained_nichenet	safe_boundary_statement	- Boundary: Do not claim clinical utility, full pretrained NicheNet benchmarking, or broad superiority over all CCC tools.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_ACTION_BOARD.md	84	treatment_or_therapeutic_guidance	safe_boundary_statement	- Boundary: Do not imply clinical or therapeutic relevance from computational frustration scores alone.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_POSITIONING_NOTE.md	31	broad_superiority	safe_boundary_statement	- broad superiority over CellChat, CellPhoneDB, NicheNet, LIANA, or niche-DE;	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_POSITIONING_NOTE.md	32	full_pretrained_nichenet	safe_boundary_statement	- full pretrained NicheNet network benchmarking, because the current nichenetr run uses a project-curated TME prior matrix;	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_POSITIONING_NOTE.md	34	treatment_or_therapeutic_guidance	safe_boundary_statement	- clinical or therapeutic claims;	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_POSITIONING_NOTE.md	52	full_pretrained_nichenet	safe_boundary_statement	2. The manuscript does not imply use of the full pretrained NicheNet network unless that resource is explicitly added later.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_POSITIONING_NOTE.md	53	broad_superiority	safe_boundary_statement	3. The LIANA full-comparator section is kept as one external benchmark, not broad CCC-tool superiority.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_SUBMISSION_GATES.tsv	8	broad_superiority	safe_boundary_statement	"G7	internal_lr_baseline	pass	benchmarks/results/comparator_readiness_matrix.csv;benchmarks/results/tool_comparison.csv	LRProductBaseline is completed and shows SheafSignal is not reducible to LR product intensity.	Use discordance examples, not superiority language."	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_SUBMISSION_GATES.tsv	9	broad_superiority	safe_boundary_statement	"G8	external_liana_comparator	pass	benchmarks/results/external_comparator_gate_summary.csv;benchmarks/results/gse154778_pdac_scrna/comparators/sheafsignal_vs_liana.csv;benchmarks/results/gse72056_melanoma_scrna/comparators/sheafsignal_vs_liana.csv;benchmarks/results/gse176078_brca_scrna/comparators/sheafsignal_vs_liana.csv	Full LIANA imports exist for all three public scRNA-seq benchmarks.	Use LIANA as one external comparator; broad CCC-tool superiority still requires careful scope or additional tools."	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI20_50_SUBMISSION_GATES.tsv	10	full_pretrained_nichenet	safe_boundary_statement	"G9	mechanistic_comparator	pass_with_boundary	benchmarks/results/comparator_readiness_matrix.csv;benchmarks/results/gse154778_pdac_scrna/comparators/sheafsignal_vs_nichenet.csv;benchmarks/results/gse72056_melanoma_scrna/comparators/sheafsignal_vs_nichenet.csv;benchmarks/results/gse176078_brca_scrna/comparators/sheafsignal_vs_nichenet.csv;benchmarks/results/gse154778_pdac_scrna/comparators/sheafsignal_vs_mechanistictargetprior.csv;benchmarks/results/gse72056_melanoma_scrna/comparators/sheafsignal_vs_mechanistictargetprior.csv;benchmarks/results/gse176078_brca_scrna/comparators/sheafsignal_vs_mechanistictargetprior.csv	NicheNet/nichenetr-engine imports and MechanisticTargetPrior outputs exist for all three public scRNA-seq benchmarks.	Current NicheNet run uses official nichenetr scoring with the project-curated TME prior matrix; do not imply full pretrained NicheNet network benchmarking."	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_AUTHOR_TODO.md	29	treatment_or_therapeutic_guidance	safe_boundary_statement	5. Keep all clinical and therapeutic wording inside boundary statements only.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_COVER_LETTER_NatureMethods.md	27	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	It does not claim clinical utility, treatment guidance, treatment-response	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_COVER_LETTER_NatureMethods.md	28	guaranteed_acceptance_or_publication	safe_boundary_statement	prediction, guaranteed publication or broad superiority over all communication	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1.md	143	broad_superiority	safe_boundary_statement	support a broad superiority claim over all cell-cell communication tools. The	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1.md	181	full_pretrained_nichenet	safe_boundary_statement	NicheNet-related analysis is not a full pretrained NicheNet network benchmark.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1.md	229	broad_superiority	safe_boundary_statement	and complementarity, not broad superiority.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1.md	266	treatment_or_therapeutic_guidance	safe_boundary_statement	utility, treatment guidance, treatment-response prediction, guaranteed journal	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1.md	267	broad_superiority	safe_boundary_statement	acceptance or broad superiority over all cell-cell communication tools.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1_claim_tracked.md	164	broad_superiority	safe_boundary_statement	support a broad superiority claim over all cell-cell communication tools. The	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1_claim_tracked.md	202	full_pretrained_nichenet	safe_boundary_statement	NicheNet-related analysis is not a full pretrained NicheNet network benchmark.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1_claim_tracked.md	250	broad_superiority	safe_boundary_statement	and complementarity, not broad superiority.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1_claim_tracked.md	287	treatment_or_therapeutic_guidance	safe_boundary_statement	utility, treatment guidance, treatment-response prediction, guaranteed journal	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V1_claim_tracked.md	288	broad_superiority	safe_boundary_statement	acceptance or broad superiority over all cell-cell communication tools.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_EDITORIAL_AUDIT.tsv	3	treatment_or_therapeutic_guidance	safe_boundary_statement	"boundary_statement_present	pass	Boundary Statement section	Keep clinical and therapeutic boundaries explicit."	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_EDITORIAL_AUDIT.tsv	6	treatment_or_therapeutic_guidance;broad_superiority	safe_boundary_statement	"forbidden_positive_claims_absent	pass	no forbidden positive claim patterns	Rewrite any guarantee, broad-superiority, clinical-utility or therapeutic-guidance wording."	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	142	broad_superiority	safe_boundary_statement	### Comparator alignment shows complementarity rather than broad superiority	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	154	full_pretrained_nichenet	safe_boundary_statement	matrix, not a full pretrained NicheNet network benchmark. For this reason, the	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	155	broad_superiority	safe_boundary_statement	manuscript does not claim broad superiority over NicheNet, CellChat,	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	195	broad_superiority	safe_boundary_statement	superiority language and treats comparator evidence as a test of alignment,	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	204	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	does not provide evidence for clinical utility, treatment guidance or	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	205	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic recommendations.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	257	broad_superiority	safe_boundary_statement	alignment and complementarity, not broad tool superiority.	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	294	treatment_or_therapeutic_guidance	safe_boundary_statement	utility, treatment guidance, treatment-response prediction, guaranteed journal	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	295	broad_superiority	safe_boundary_statement	acceptance or broad superiority over established cell-cell communication	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED_claim_tracked.md	9	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	| `C1_method_object` | SheafSignal models communication as a sheaf-valued graph flow. | `src/sheafsignal and Methods text` | methodological formulation | do not claim clinical utility or therapeutic guidance |	No rewrite required if this remains a negative/boundary statement.
manuscript/SCI_MANUSCRIPT_V2_POLISHED_claim_tracked.md	14	broad_superiority	safe_boundary_statement	| `C6_comparators` | Comparator results support alignment and complementarity. | `benchmarks/results/tool_comparison.csv` | alignment, non-equivalence and bounded comparison | do not claim broad superiority over all CCC tools |	No rewrite required if this remains a negative/boundary statement.
manuscript/SHEAFSIGNAL_STATUS_DASHBOARD_2026-05-02.md	31	broad_superiority	safe_boundary_statement	| Comparator scope | Green | Primary scRNA comparator scope is complete and locked; broad superiority remains forbidden | Preserve primary-scope boundary |	No rewrite required if this remains a negative/boundary statement.
manuscript/SHEAFSIGNAL_STATUS_DASHBOARD_2026-05-02.md	90	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	- Do not claim clinical utility, therapeutic guidance, or patient-level decision value.	No rewrite required if this remains a negative/boundary statement.
manuscript/SHEAFSIGNAL_STATUS_DASHBOARD_2026-05-02.md	91	broad_superiority	safe_boundary_statement	- Do not claim broad superiority over all CCC tools.	No rewrite required if this remains a negative/boundary statement.
manuscript/SHEAFSIGNAL_STATUS_GATES_2026-05-02.tsv	8	broad_superiority	safe_boundary_statement	"G07	Comparator scope	green	Primary scRNA comparator scope is programmatically locked and passes: LRProductBaseline, LIANA, MechanisticTargetPrior, bounded NicheNet/nichenetr-engine, CellPhoneDB and CellChat are complete for GSE72056, GSE154778 and GSE176078; demo/Visium/GSE103322/niche-DE are outside main comparator claims	manuscript/comparator_scope/COMPARATOR_SCOPE_REPORT.md	Keep broad-superiority language forbidden and do not claim comparator completeness outside the primary scRNA scope	no"	No rewrite required if this remains a negative/boundary statement.
manuscript/SUBMISSION_READINESS_REPORT.md	47	broad_superiority	safe_boundary_statement	- `G7` `pass`: LRProductBaseline is completed and shows SheafSignal is not reducible to LR product intensity. Remaining: Use discordance examples, not superiority language.	No rewrite required if this remains a negative/boundary statement.
manuscript/SUBMISSION_READINESS_REPORT.md	48	broad_superiority	safe_boundary_statement	- `G8` `pass`: Full LIANA imports exist for all three public scRNA-seq benchmarks. Remaining: Use LIANA as one external comparator; broad CCC-tool superiority still requires careful scope or additional tools.	No rewrite required if this remains a negative/boundary statement.
manuscript/SUBMISSION_READINESS_REPORT.md	49	full_pretrained_nichenet	safe_boundary_statement	- `G9` `pass_with_boundary`: NicheNet/nichenetr-engine imports and MechanisticTargetPrior outputs exist for all three public scRNA-seq benchmarks. Remaining: Current NicheNet run uses official nichenetr scoring with the project-curated TME prior matrix; do not imply full pretrained NicheNet network benchmarking.	No rewrite required if this remains a negative/boundary statement.
manuscript/SUBMISSION_READINESS_REPORT.md	76	guaranteed_acceptance_or_publication	safe_boundary_statement	- Do not guarantee acceptance in any journal.	No rewrite required if this remains a negative/boundary statement.
manuscript/SUBMISSION_READINESS_REPORT.md	77	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	- Do not claim clinical utility, therapeutic recommendations, or treatment-response prediction.	No rewrite required if this remains a negative/boundary statement.
manuscript/SUBMISSION_READINESS_REPORT.md	78	full_pretrained_nichenet	safe_boundary_statement	- Do not claim full pretrained NicheNet network benchmarking unless that resource is explicitly added.	No rewrite required if this remains a negative/boundary statement.
manuscript/SUBMISSION_READINESS_REPORT.md	79	broad_superiority	safe_boundary_statement	- Do not claim broad superiority over all CCC tools; CellChat and CellPhoneDB are complete only for the primary scRNA-seq scope, while demo/Visium/GSE103322 and niche-DE remain outside that comparator claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/SUPERGROK_MAJOR_REVISION_RESPONSE_STATUS_2026-05-01.md	135	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	- Clinical utility, treatment guidance or therapeutic relevance.	No rewrite required if this remains a negative/boundary statement.
manuscript/SUPERGROK_MAJOR_REVISION_RESPONSE_STATUS_2026-05-01.md	136	broad_superiority	safe_boundary_statement	- Broad superiority over CellChat, CellPhoneDB, LIANA, NicheNet or niche-DE.	No rewrite required if this remains a negative/boundary statement.
manuscript/claim_hardening/CLAIM_HARDENING_AUDIT.tsv	2	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	"manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	204	clinical_or_therapeutic	boundary_context	clinical utility	does not provide evidence for clinical utility, treatment guidance or	Keep only if explicitly framed as computational/hypothesis-generating."	No rewrite required if this remains a negative/boundary statement.
manuscript/claim_hardening/CLAIM_HARDENING_AUDIT.tsv	3	treatment_or_therapeutic_guidance	safe_boundary_statement	"manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	205	clinical_or_therapeutic	boundary_context	therapeutic	therapeutic recommendations.	Keep only if explicitly framed as computational/hypothesis-generating."	No rewrite required if this remains a negative/boundary statement.
manuscript/claim_hardening/CLAIM_HARDENING_AUDIT.tsv	4	treatment_or_therapeutic_guidance	safe_boundary_statement	"manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	294	clinical_or_therapeutic	boundary_context	treatment guidance	utility, treatment guidance, treatment-response prediction, guaranteed journal	Keep only if explicitly framed as computational/hypothesis-generating."	No rewrite required if this remains a negative/boundary statement.
manuscript/claim_hardening/CLAIM_HARDENING_AUDIT.tsv	5	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	"manuscript/SCI_MANUSCRIPT_V2_POLISHED_claim_tracked.md	9	clinical_or_therapeutic	boundary_context	clinical utility	| `C1_method_object` | SheafSignal models communication as a sheaf-valued graph flow. | `src/sheafsignal and Methods text` | methodological formulation | do not claim clinical utility or therapeutic guidance |	Keep only if explicitly framed as computational/hypothesis-generating."	No rewrite required if this remains a negative/boundary statement.
manuscript/claim_hardening/CLAIM_HARDENING_AUDIT.tsv	6	treatment_or_therapeutic_guidance	safe_boundary_statement	"manuscript/nature_methods_package/01_abstract.md	24	clinical_or_therapeutic	boundary_context	therapeutic	Boundary: this abstract draft makes no clinical, therapeutic, or guaranteed	Keep only if explicitly framed as computational/hypothesis-generating."	No rewrite required if this remains a negative/boundary statement.
manuscript/claim_hardening/CLAIM_HARDENING_AUDIT.tsv	7	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	"manuscript/nature_methods_package/09_full_manuscript_draft.md	204	clinical_or_therapeutic	boundary_context	clinical utility	does not provide evidence for clinical utility, treatment guidance or	Keep only if explicitly framed as computational/hypothesis-generating."	No rewrite required if this remains a negative/boundary statement.
manuscript/claim_hardening/CLAIM_HARDENING_AUDIT.tsv	8	treatment_or_therapeutic_guidance	safe_boundary_statement	"manuscript/nature_methods_package/09_full_manuscript_draft.md	205	clinical_or_therapeutic	boundary_context	therapeutic	therapeutic recommendations.	Keep only if explicitly framed as computational/hypothesis-generating."	No rewrite required if this remains a negative/boundary statement.
manuscript/claim_hardening/CLAIM_HARDENING_AUDIT.tsv	9	treatment_or_therapeutic_guidance	safe_boundary_statement	"manuscript/nature_methods_package/09_full_manuscript_draft.md	294	clinical_or_therapeutic	boundary_context	treatment guidance	utility, treatment guidance, treatment-response prediction, guaranteed journal	Keep only if explicitly framed as computational/hypothesis-generating."	No rewrite required if this remains a negative/boundary statement.
manuscript/comparator_scope/COMPARATOR_SCOPE_AUDIT.tsv	21	broad_superiority	safe_boundary_statement	"text_scope::comparator_claim_scan	pass					No stale comparator-pending or positive broad-superiority claims detected."	No rewrite required if this remains a negative/boundary statement.
manuscript/external_comparator_gate_summary.tsv	2	broad_superiority	safe_boundary_statement	"primary_scrna_comparator_scope	satisfied_primary_scrna_scope	True	6	6	3	3	0	0	Primary scRNA comparator scope is satisfied for LRProductBaseline, LIANA, MechanisticTargetPrior, bounded NicheNet/nichenetr-engine, CellPhoneDB and CellChat. Do not claim broad CCC-tool superiority or completeness for demo, Visium, GSE103322, or niche-DE.	Keep comparator claims limited to the completed primary scRNA scope."	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/01_main_figure_legends.md	10	clinical_utility	safe_boundary_statement	mathematical-object claim only; it does not claim clinical utility or broad	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/01_main_figure_legends.md	11	broad_superiority	safe_boundary_statement	superiority over existing communication tools.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/01_main_figure_legends.md	56	broad_superiority	safe_boundary_statement	This figure supports benchmarkability and complementarity; it must not be captioned as broad superiority over all cell-cell communication tools.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	13	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	21	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	29	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	37	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	45	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	53	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	61	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	69	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	77	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	85	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	93	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	101	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	109	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	117	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	125	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	133	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	141	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	149	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	157	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	165	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	173	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	181	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	189	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	197	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	205	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	213	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/figure_legends/02_supplementary_figure_legends.md	221	treatment_or_therapeutic_guidance	safe_boundary_statement	therapeutic claim.	No rewrite required if this remains a negative/boundary statement.
